,Date,Count
526,22/07/22 22:00:00,217
527,22/07/22 23:00:00,153
528,22/07/23 00:00:00,177
529,22/07/23 01:00:00,206
530,22/07/23 02:00:00,127
531,22/07/23 03:00:00,162
532,22/07/23 04:00:00,81
533,22/07/23 05:00:00,309
534,22/07/23 06:00:00,1101
535,22/07/23 07:00:00,1873
536,22/07/23 08:00:00,2681
537,22/07/23 09:00:00,1743
538,22/07/23 10:00:00,1357
539,22/07/23 11:00:00,1310
540,22/07/23 12:00:00,1478
541,22/07/23 13:00:00,1521
542,22/07/23 14:00:00,1103
543,22/07/23 15:00:00,829
544,22/07/23 16:00:00,618
545,22/07/23 17:00:00,462
546,22/07/23 18:00:00,158
547,22/07/23 19:00:00,16
548,22/07/23 20:00:00,89
549,22/07/23 21:00:00,167
550,22/07/23 22:00:00,64
551,22/07/23 23:00:00,103
552,22/07/24 00:00:00,37
553,22/07/24 01:00:00,49
554,22/07/24 02:00:00,29
555,22/07/24 03:00:00,22
556,22/07/24 05:00:00,21
557,22/07/24 06:00:00,349
558,22/07/24 07:00:00,443
559,22/07/24 08:00:00,375
560,22/07/24 09:00:00,500
561,22/07/24 10:00:00,663
562,22/07/24 11:00:00,711
563,22/07/24 12:00:00,648
564,22/07/24 13:00:00,414
565,22/07/24 14:00:00,395
566,22/07/24 15:00:00,266
567,22/07/24 16:00:00,152
568,22/07/24 17:00:00,76
569,22/07/24 18:00:00,17
570,22/07/24 19:00:00,13
571,22/07/24 20:00:00,3
572,22/07/25 00:00:00,22
573,22/07/25 01:00:00,138
574,22/07/25 02:00:00,103
575,22/07/25 03:00:00,110
576,22/07/25 04:00:00,30
577,22/07/25 05:00:00,333
578,22/07/25 06:00:00,955
579,22/07/25 07:00:00,2015
580,22/07/25 08:00:00,3862
581,22/07/25 09:00:00,3794
582,22/07/25 10:00:00,2468
583,22/07/25 11:00:00,3146
584,22/07/25 12:00:00,2549
585,22/07/25 13:00:00,1620
586,22/07/25 14:00:00,2178
587,22/07/25 15:00:00,1289
588,22/07/25 16:00:00,896
589,22/07/25 17:00:00,795
590,22/07/25 18:00:00,305
591,22/07/25 19:00:00,77
592,22/07/25 20:00:00,191
593,22/07/25 21:00:00,95
594,22/07/25 22:00:00,32
595,22/07/25 23:00:00,6
596,22/07/26 00:00:00,78
597,22/07/26 01:00:00,242
598,22/07/26 02:00:00,248
599,22/07/26 03:00:00,142
600,22/07/26 04:00:00,45
601,22/07/26 05:00:00,370
602,22/07/26 06:00:00,922
603,22/07/26 07:00:00,1889
604,22/07/26 08:00:00,4045
605,22/07/26 09:00:00,4249
606,22/07/26 10:00:00,2459
607,22/07/26 11:00:00,3817
608,22/07/26 12:00:00,3394
609,22/07/26 13:00:00,2970
610,22/07/26 14:00:00,2791
611,22/07/26 15:00:00,2086
612,22/07/26 16:00:00,1299
613,22/07/26 17:00:00,1145
614,22/07/26 18:00:00,457
615,22/07/26 19:00:00,140
616,22/07/26 20:00:00,498
617,22/07/26 21:00:00,422
618,22/07/26 22:00:00,234
619,22/07/26 23:00:00,173
620,22/07/27 00:00:00,13
621,22/07/27 01:00:00,32
622,22/07/27 02:00:00,12
623,22/07/27 03:00:00,17
624,22/07/27 06:00:00,4
625,22/07/27 07:00:00,121
626,22/07/27 08:00:00,156
627,22/07/27 09:00:00,108
628,22/07/27 10:00:00,32
629,22/07/27 11:00:00,81
630,22/07/27 12:00:00,44
631,22/07/27 18:00:00,4
632,22/07/27 22:00:00,1
633,22/07/30 00:00:00,1
634,22/07/30 03:00:00,1
635,22/07/30 18:00:00,1
636,22/07/30 21:00:00,1
